listing,price,brand,size
"MICHAEL KORS SMALL TOP ZIP COINPOUCH WITH ID CARD CASE WALLET 
PALE BLUE 
NWT
          
      Boutique",56.0,Michael Kors,
"Juicy couture juicy beach couture crossbody purse
          
      NWT",65.0,Juicy Couture,See photos
Elegant Gray/purple Crossbody Bag,12.0,Kohls,OS
Vince Camuto Brown Leather Handbag,50.0,Vince Camuto,OS
Black and Cream Tote Bag,10.0,None,OS
Brighton Black and Silver Ferrara City Organizer Crossbody Bag,135.0,Brighton,OS
Chanel Black Caviar Leather Wallet- EUC,382.0,CHANEL,OS
DKNY Elise Mini Box Crossbody handbag in a snakeskin print.W- A FREE Card Wallet,143.0,Dkny,OS
Nightmare Before Christmas Disney Loungefly wallet. NWOT‎,85.0,Loungefly,OS
Sherpa Leather Womens Hobo Bag Cream Brown Gold Accents Plush Made in Italy,69.0,Unbranded,OS
Michael Kors Jet Set Travel XL Saffiano Leather Tote Chili Red Modern Minimalist,125.0,Michael Kors,OS
"KATE SPADE | Kate's Taxi 3D Taxi Crossbody w/ NYC Pretzel Card Holder 2p…
          
      NWT",460.0,kate spade,OS
JW Anderson Turquoise Twister Top Handle Shoulder Bag,250.0,JW ANDERSON,OS
"Michael Kors Emilia Small
Saddle Flap Crossbody Bag
Navy Blue OS",99.0,Michael Kors,OS
NWOT Liz Claiborne Erika Zip Around Wallet Black,14.0,Liz Claiborne,OS
Bandolier Pebble Leather Expanded Zip Pouch in Black/Gold,85.0,Bandolier,OS
Michael Kors Jetsetter Crossbody,50.0,Michael Kors,OS
Carlos Santana Black and Silver Chain Edge Wristlet.,25.0,Carlos Santana,OS
VTG Etienne Aigner Black Crocodile Leather Wallet Wristlet Classic Old Money EUC,10.0,Etienne Aigner,OS
"3 business class amenities bags
          
      NWT",28.0,,OS
a.n.a Red and Gold Patterned Hobo Bag,36.0,a.n.a,OS
"Nana Grandma white tote bag purse women's handbag cross strap floral design cute
          
      NWT",22.0,,OS
"NWT/Kate Spade New York Laurel Way Stacy Leather Wallet/ Blue Dawn
          
      NWT",75.0,kate spade,OS
Spartina-Callahan Zipper Hipster Linen/Leather crossbody bag. Lots of space! EUC,55.0,Spartina 449,OS
"Michael Kors Jet Set Extra Small Tri-fold Black Patent Leather Wallet
          
      NWT",30.0,Michael Kors,"3"" x 4"" x 1"""
"Kate spade rose gold card holder and gift box
          
      NWT",79.0,kate spade,OS
Fossil swing pack cross body bag,35.0,Fossil,OS
New Handmade Kiss-lock Floral Clutch Coin Purse/Charm,25.0,Handmade,OS
Louis Vuitton Totally Shoulder Tote Bag Monogram,3499.0,Louis Vuitton,OS
Universal Studios Harry Potter Hufflepuff Chenille Coin Purse Yellow & Grey EUC,18.0,Warner Bros.,OS
lululemon athletica Black Crossbody Bag -2L,49.0,lululemon athletica,OS
"Auth COACH Bleecker Leather Mini Riley Carryall 27923, Birch Leather (white)",45.0,Coach,OS
Louis Vuitton Damien Ebene Key Holder,68.0,Louis Vuitton,OS
Brown and Gold Patterned Clutch,50.0,Macy's,OS
🆕 12 Sets Metal Side Clip Bag Buckle with Side Loop Purse Suspension,25.0,,OS
Kate spade shearling crossbody bag,85.0,kate spade,OS
Coach Brown and Gold Interior Bag,80.0,Coach,OS
Dooney &Bourke Handbag Color Silver/Blue.  Pre-loved.,79.0,Dooney & Bourke,OS
Dooney & Bourke Giraffe Print Tote Bag - Black and Brown,65.0,Dooney & Bourke,"12""x 12"" x 6.2"" approximately"
Handmade Genuine Leather Saddle Bag,85.0,Handmade,OS
Rebecca Minkoff Navy Leather Clutch With Tokyo Stamp Design Wristlet,30.0,Rebecca Minkoff,OS
Kennet Kole Reaction,32.0,Kenneth Cole Reaction,OS
Steve Madden Black Quilted Handbag Shoulder Bag Size Large,25.0,Steve Madden,OS
Intricately beaded shoulder bag purse vintage fully lined Fabric Bag,20.0,,OS
Vera Bradley Hipster Lucky Dots Crossbody Green and Blue Polka Dot Women's Bag,40.0,Vera Bradley,"10.25"" x 11"""
Vince Camuto Harlo Geometric Woven Leather Travel Tote Bag,50.0,Vince Camuto,OS
Francesco Biasia Shoulder Bag Black Leather Minimalist Y2K Silver Hardware Italy,55.0,Francesco Biasia,OS
"Authentic Tom Ford Sueded Drawstring Dust Bag. Fully lined, Gray 15"" x 7.5""",20.0,Tom Ford,"15"" x 7.5"""
PINK Victoria's Secret‎ Black Tote Bag White Stripe Canvas Shopping Travel,15.0,PINK Victoria's Secret,OS
"NWT Kendall & Kylie Clear Pouch Wristlet Makeup Bag Travel Concerts Sport Events
          
      NWT",13.0,Kendall & Kylie,OS
Fendi Pequin Long Black and Brown Striped Wallet EUC!  + Fendi Dust Bag + COA,375.0,Fendi,OS
Louis Vuitton Brown Monogram Tote,2500.0,Louis Vuitton,OS
Coach Black Laptop Case,55.0,Coach,OS
Vegan leather Blue Shoulder Bag,25.0,,OS
C- Coach rare pink peachy/orange Horse Carriage Pleated Tote Shoulder Bag F…,132.0,Coach,OS
Kate Spade Cara Leather Maroon Tote Shoulder Bag,150.0,kate spade,OS
Cartier Authentic Vintage Wallet Dark Red Leather Happy Birthday Continental,140.0,Cartier,OS
Vera Bradley Wristlet Wallet In Midnight With Multicolor Butterfly Floral Patter,13.0,Vera Bradley,OS
"NWT Free People Been There Badge Tote Bag Olive Green Vintage Boho Retro
          
      NWT",70.0,Free People,OS
Dunhill Canvas Coin pouch/Card Holder,150.0,Dunhill,OS
"Kate Spade Lola Large Continental Glitter Dusk
          
      NWT",117.0,kate spade,"3.9"" h x 7.6"" w"
Vera Bradley wallet with wristlet in excellent condition,20.0,Vera Bradley,OS
lululemon athletica Black Crossbody Bag,55.0,lululemon athletica,OS
Curateur x Laude NWT The Label Black Knit Macrame Stripe Bag,25.0,Laude The Label,OS
Kate Spade Laurel‎ Way Carsen Rose Gold Crossbody Purse,62.0,Kate Spade New York,OS
Rosetti Brown Shoulder Bag with Adjustable Strap and Hobo Silhouette,20.0,Rosetti,OS
Michael Kors Emilia Small Logo Satchel - Brown Signature,72.0,Michael Kors,OS
GUCCI Limited Edition Handmade Natural Leather Bag Large - UNICORN ALERT!,1800.0,Gucci,"16 x 11 x 8.4"" drop 4.5"" approximately"
"Milly Vibrant Blue Fringed Crossbody Bag
          
      NWT",213.0,Milly,OS
Laurel Burch Crazy Cat Lady Canvas Tote Bag Beach Funky Artsy  Kitchy Vacation,14.0,Laurel Burch,OS
"Lush Fighting Animal Testing - Pink Tote Bag
          
      NWT",13.0,Lush,OS
RACHEL PALLY Zahara Reversible Clutch‎,27.0,Rachel Pally,OS
Antonio Melani Brown Croc Embossed Top Handle Structured Purse W/Crossbody Strap,26.0,ANTONIO MELANI,OS
Adidas Micro Mini Tote Aurora Coffee Brown/Sandy Pink Crossbody Bag,26.0,adidas,OS
Elegant Pearl-Embellished Clutch,20.0,N/A,OS
Coach gold detail beige bag,118.0,Coach,OS
Vera Bradley Tangerine Twist Crossbody Messenger Bag Quilted Floral Colorful,35.0,Vera Bradley,OS
"NWT MICHAEL KORS LEATHER CINDY DOME CROSSBODY BAG
          
      NWT",169.0,Michael Kors,OS
Elegant  Brown Checkered Shoulder Bag,150.0,No Label,OS
Vintage La Regale Clutch Bag,48.0,La Regale,OS
Guess Y2K Mcbling Goth Black Shoulder Cargo Hand Bag Purse Monogram 2000 Vintage,225.0,Guess,OS
"Tag Cityscape 3 Piece Hardside Luggage suitcase carry on
          
      NWT",38.0,,OS
Studded Olive Green Crossbody Bag,40.0,NanaMacs,OS
Simply Southern Key Largo Black Woven Purse with Gold Accents,22.0,Simply Southern,OS
AUTHENTIC BALMAIN B-Army Shoulder Bag Canvas/Calf Leather LTJ380-010226,795.0,Balmain,W7.0 x H5.5 x D3.1inch
3 for $15! | TOTE  | Halloween Holiday | Dead and Breakfast themed bag,9.0,None,OS
PINK Victoria Secret Fanny pack,15.0,PINK Victoria's Secret,OS
Louis Vuitton Monogram Pochette Marly Bandouliere,750.0,Louis Vuitton,"L: 8.5"" H: 4.75"" W: 1.75"""
Coach Black Leather Tote with Silver Accents,202.0,Coach,OS
"Cosmetic Bag Makeup Bag Travel‎ Pouch Toiletry Bag Sleeping Cat Pattern
          
      NWT",12.0,The Unbranded Brand,OS
Michael Kors Reed Large Signature Belted Logo Satchel Crossbody Bag Cream Purse,100.0,Michael Kors,OS
Michael Kors Jet Set Large Initials MK Wallet- Retired NWOT,60.0,MICHAEL Michael Kors,OS
Yellow Banana Shoulder Bag Genuine Leather Hobo Made in Mexico,34.0,,one size
Woven Crossbody Bag Floral Embroidery Goblincore Indie Crunchy Boho Fairy Grunge,14.0,,OS
Coach Tan Leather Shoulder Bag with Relaxed Silhouette# 19755,110.0,Coach,OS
DKNY Black Crossbody Bag,20.0,Dkny,OS
"Large Gilda Paris Quilted Vegan Leather Wine Tote bag
          
      NWT",129.0,Glida Paris,OS
Lilly Pulitzer Cork Kat Crossbody,90.0,Lilly Pulitzer,OS
Baggallini Black Shoulder Bag with Silver Accents,14.0,Baggallini,OS
"⚡Women Black Lychee Pattern Full Grained Leather Crossbody Adjustable Strap Bag
          
      NWT",106.0,,OS
Michael Kors Black Crossbody Bag,55.0,Michael Kors,OS
PINK Victoria's Secret Glittering‎ Tote - Silver and Black,22.0,PINK Victoria's Secret,OS
Loungefly Care Bears Valentines Day,48.0,Loungefly,OS
💯Authentic LOUIS VUITTON Gray Metallic EPI leather Sarah wallet,495.0,Louis Vuitton,L:7.5” H:4.25” W: 0.75”
Lululemon Om The Day Bag Black Reflective Large Duffle Yoga Mat Gym Travel,26.0,lululemon athletica,OS
"Michael Kors Bedford pebble leather tote bag
          
      NWT",255.0,Michael Kors,Large
CAbi Heavy Canvas Tote Cream with logo and Graphic Fabric Bag,25.0,CAbi,OS
"Michael Kors Sandrine Small Sequined Lemon Print Crossbody Bag Vanity Case
          
      NWT",89.0,Michael Kors,OS
MMM ARTESANIAS Handmade Rainbow Quilted Boho Vintage Retro Crossbody Bag Purse,10.0,M.M.M. Artesanias,OS
Vintage Dooney & Bourke Black and Brown Leather Bag Equestrian Crossbody,45.0,Dooney & Bourke,OS
